GeneID	group	Enzyme_family,pathway	Gene_description	Substrate
jgi|Aspni_NRRL3_1|11807	sugar_transporter	inositol, hexose STs	Fsy1(yeast-like)_Aniger(An06g02270)	/
jgi|Aspni_NRRL3_1|11818	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|11821	PBD_cazy	GH32	INV/INU/INX	Inulin
jgi|Aspni_NRRL3_1|11825	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|1237	PBD_cazy	PL1_Subf4	PEL	Pectin
jgi|Aspni_NRRL3_1|1270	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|1271	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|1282	PBD_cazy	GH13_Subf40	AGD	Starch
jgi|Aspni_NRRL3_1|1317	sugar_transporter	lactose, cellobiose, xylobiose STs	/	/
jgi|Aspni_NRRL3_1|1360	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|1396	PBD_cazy	GH29	AFC	Xyloglucan
jgi|Aspni_NRRL3_1|1493	sugar_metabolism	L-rhamnose	lrlA	/
jgi|Aspni_NRRL3_1|1494	sugar_metabolism	L-rhamnose	lraA	/
jgi|Aspni_NRRL3_1|1495	sugar_metabolism	L-rhamnose	lrdA	/
jgi|Aspni_NRRL3_1|1496	transcription_factor	transcription_factor|rhaR pectin degradation	rhaR	/
jgi|Aspni_NRRL3_1|1584	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|16	PBD_cazy	GH36	AGL	Mannan
jgi|Aspni_NRRL3_1|1606	PBD_cazy	GH51	ABF	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|1648	PBD_cazy	GH11	XLN	Xylan
jgi|Aspni_NRRL3_1|1651	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|1652	sugar_transporter	xylose STs	/	/
jgi|Aspni_NRRL3_1|169	PBD_cazy	CE12	RGAE	Pectin
jgi|Aspni_NRRL3_1|1716	sugar_metabolism	D-gluconate	/	/
jgi|Aspni_NRRL3_1|1731	PBD_cazy	GH2	LAC/MND	Pectin/Xyloglucan/Mannan
jgi|Aspni_NRRL3_1|1737	PBD_cazy	GH27	AGL	Mannan
jgi|Aspni_NRRL3_1|1739	PBD_cazy	GH88	UGH	Pectin
jgi|Aspni_NRRL3_1|1787	PBD_cazy	GH74	XEG	Xyloglucan
jgi|Aspni_NRRL3_1|1918	PBD_cazy	GH12	EGL/CBH/XEG	Cellulose/Xyloglucan
jgi|Aspni_NRRL3_1|1929	sugar_metabolism	the oxidoreductive pathway	gutB	/
jgi|Aspni_NRRL3_1|1952	sugar_metabolism	"PCP;the oxidoreductive pathway"	xyrA	/
jgi|Aspni_NRRL3_1|2023	PBD_cazy	GH31	AGD/AXL	Starch/Xyloglucan
jgi|Aspni_NRRL3_1|2043	sugar_metabolism	PPP	pglA	/
jgi|Aspni_NRRL3_1|2122	sugar_metabolism	Glycerol	gfdA	/
jgi|Aspni_NRRL3_1|2123	PBD_cazy	GH133	AMG	Starch
jgi|Aspni_NRRL3_1|2162	PBD_cazy	GH78	RHA	Pectin
jgi|Aspni_NRRL3_1|2163	PBD_cazy	GH2	LAC/MND	Pectin/Xyloglucan/Mannan
jgi|Aspni_NRRL3_1|2165	sugar_metabolism	D-gluconate	/	/
jgi|Aspni_NRRL3_1|2193	sugar_metabolism	Glycerol	gldB	/
jgi|Aspni_NRRL3_1|2224	sugar_metabolism	D-gluconate	gukA	/
jgi|Aspni_NRRL3_1|234	sugar_metabolism	PPP	/	/
jgi|Aspni_NRRL3_1|235	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|2351	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|2395	sugar_metabolism	Glyoxylate cycle	acuD	/
jgi|Aspni_NRRL3_1|2451	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|2479	PBD_cazy	GH35	LAC	Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|249	PBD_cazy	GH13_Subf1	AMY	Starch
jgi|Aspni_NRRL3_1|250	PBD_cazy	GH13_Subf5	AMY	Starch
jgi|Aspni_NRRL3_1|2523	sugar_metabolism	PCP	ladA	/
jgi|Aspni_NRRL3_1|2524	PBD_cazy	GH31	AGD/AXL	Starch/Xyloglucan
jgi|Aspni_NRRL3_1|2528	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|2566	sugar_metabolism	Leloir	/	/
jgi|Aspni_NRRL3_1|2571	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|2584	PBD_cazy	GH7	CBH	Cellulose
jgi|Aspni_NRRL3_1|2585	PBD_cazy	GH5_Subf5	EGL	Cellulose
jgi|Aspni_NRRL3_1|263	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|2630	PBD_cazy	GH35	LAC	Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|2636	sugar_metabolism	Leloir	/	/
jgi|Aspni_NRRL3_1|2656	PBD_cazy	AA16	LPMO	Cellulose
jgi|Aspni_NRRL3_1|268	PBD_cazy	GH31	AGD/AXL	Starch/Xyloglucan
jgi|Aspni_NRRL3_1|2746	PBD_cazy	GH13_Subf5	AMY	Starch
jgi|Aspni_NRRL3_1|2775	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|279	sugar_metabolism	PPP	rpeA	/
jgi|Aspni_NRRL3_1|2807	sugar_metabolism	"PCP;the oxidoreductive pathway"	/	/
jgi|Aspni_NRRL3_1|2827	PBD_cazy	GH11	XLN	Xylan
jgi|Aspni_NRRL3_1|2828	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|2832	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|2835	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|2840	sugar_metabolism	D-gluconate	/	/
jgi|Aspni_NRRL3_1|2841	sugar_metabolism	D-gluconate	goxC	/
jgi|Aspni_NRRL3_1|2854	sugar_metabolism	"PCP;the oxidoreductive pathway"	/	/
jgi|Aspni_NRRL3_1|288	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|2929	sugar_metabolism	Leloir	/	/
jgi|Aspni_NRRL3_1|2931	PBD_cazy	FAE	FAE	Pectin/Xylan
jgi|Aspni_NRRL3_1|3021	sugar_transporter	inositol, hexose STs	/	/
jgi|Aspni_NRRL3_1|3028	sugar_transporter	lactose, cellobiose, xylobiose STs	CtA_Aniger	/
jgi|Aspni_NRRL3_1|3068	sugar_metabolism	"Glycolysis;Mannose"	glkA	/
jgi|Aspni_NRRL3_1|3087	PBD_cazy	GH32	INV/INU/INX	Inulin
jgi|Aspni_NRRL3_1|3100	sugar_metabolism	Glycolysis	put. pgm	/
jgi|Aspni_NRRL3_1|3113	sugar_metabolism	TCA	fumR	/
jgi|Aspni_NRRL3_1|3123	sugar_metabolism	non-phosphorylated DeLey-Doudoroff pathway	/	/
jgi|Aspni_NRRL3_1|3144	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|3147	sugar_transporter	hexose, xylose, polyol STs	MstA_Aniger	/
jgi|Aspni_NRRL3_1|316	sugar_metabolism	"TCA;Glyoxylate cycle"	acoB	/
jgi|Aspni_NRRL3_1|319	sugar_metabolism	PCP	/	/
jgi|Aspni_NRRL3_1|3213	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|3214	sugar_metabolism	Glycolysis	put. gpd	/
jgi|Aspni_NRRL3_1|3272	sugar_transporter	xylose STs	/	/
jgi|Aspni_NRRL3_1|3278	sugar_transporter	rhamnose ST	RhtA	/
jgi|Aspni_NRRL3_1|3279	PBD_cazy	GH78	RHA	Pectin
jgi|Aspni_NRRL3_1|3333	sugar_metabolism	L-rhamnose	/	/
jgi|Aspni_NRRL3_1|3339	PBD_cazy	CE1	AXE/FAE	Xylan
jgi|Aspni_NRRL3_1|3383	PBD_cazy	AA9	LPMO	Cellulose
jgi|Aspni_NRRL3_1|3410	sugar_metabolism	Leloir	/	/
jgi|Aspni_NRRL3_1|3489	sugar_transporter	unknown STs	/	/
jgi|Aspni_NRRL3_1|3505	sugar_transporter	inositol, hexose STs	/	/
jgi|Aspni_NRRL3_1|3516	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|3544	transcription_factor	transcription_factor|clrA2 cellulose degradation	clrA2	/
jgi|Aspni_NRRL3_1|3570	sugar_metabolism	"TCA;Glyoxylate cycle"	mdhA	/
jgi|Aspni_NRRL3_1|3593	transcription_factor	transcription_factor|inuR inulin degradation	inuR	/
jgi|Aspni_NRRL3_1|3594	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|3595	PBD_cazy	GH32	INV/INU/INX	Inulin
jgi|Aspni_NRRL3_1|3702	sugar_transporter	inositol, hexose STs	Fsy1_Aniger(An15g01500)	/
jgi|Aspni_NRRL3_1|3733	sugar_metabolism	Glyoxylate cycle	/	/
jgi|Aspni_NRRL3_1|3736	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|3739	sugar_metabolism	"TCA;Glyoxylate cycle"	mcsA	/
jgi|Aspni_NRRL3_1|3768	PBD_cazy	GH54	ABF	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|3855	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|386	sugar_transporter	unknown STs	/	/
jgi|Aspni_NRRL3_1|3879	sugar_transporter	hexose, xylose, polyol STs	MstH_Aniger	/
jgi|Aspni_NRRL3_1|3902	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|3924	PBD_cazy	GH78	RHA	Pectin
jgi|Aspni_NRRL3_1|3928	PBD_cazy	GH11	XLN	Xylan
jgi|Aspni_NRRL3_1|3929	PBD_cazy	AA9	LPMO	Cellulose
jgi|Aspni_NRRL3_1|3933	sugar_metabolism	PCP	/	/
jgi|Aspni_NRRL3_1|3953	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|3961	PBD_cazy	AA9	LPMO	Cellulose
jgi|Aspni_NRRL3_1|4000	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|4004	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|4034	transcription_factor	transcription_factor|xlnR (hemi-)cellulose degradation	xlnR	/
jgi|Aspni_NRRL3_1|4153	PBD_cazy	PL1_Subf4	PEL	Pectin
jgi|Aspni_NRRL3_1|4170	sugar_metabolism	Glycerol	gfdB	/
jgi|Aspni_NRRL3_1|4177	sugar_metabolism	PPP	rbkA	/
jgi|Aspni_NRRL3_1|4196	PBD_cazy	GH26	MAN	Mannan
jgi|Aspni_NRRL3_1|4199	PBD_cazy	GH13_Subf1	AMY	Starch
jgi|Aspni_NRRL3_1|4244	sugar_transporter	unknown STs	/	/
jgi|Aspni_NRRL3_1|4245	PBD_cazy	GH78	RHA	Pectin
jgi|Aspni_NRRL3_1|4254	PBD_cazy	GH31	AGD/AXL	Starch/Xyloglucan
jgi|Aspni_NRRL3_1|4261	sugar_metabolism	D-gluconate	gox	/
jgi|Aspni_NRRL3_1|4303	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|431	PBD_cazy	FAE	FAE	Pectin/Xylan
jgi|Aspni_NRRL3_1|4325	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|4328	sugar_metabolism	"PCP;the oxidoreductive pathway"	sdhA	/
jgi|Aspni_NRRL3_1|4329	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|4386	sugar_transporter	inositol, hexose STs	/	/
jgi|Aspni_NRRL3_1|4395	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|4398	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|4471	sugar_metabolism	PCP	xkiA	/
jgi|Aspni_NRRL3_1|4473	sugar_metabolism	PPP	talB	/
jgi|Aspni_NRRL3_1|4474	sugar_metabolism	TCA	carC	/
jgi|Aspni_NRRL3_1|4510	sugar_metabolism	PCP	lxrB	/
jgi|Aspni_NRRL3_1|4528	sugar_metabolism	PPP	talA	/
jgi|Aspni_NRRL3_1|4568	PBD_cazy	GH35	LAC	Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|4569	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|4608	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|4711	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|475	PBD_cazy	GH31	AGD/AXL	Starch/Xyloglucan
jgi|Aspni_NRRL3_1|4753	sugar_metabolism	Mannose	/	/
jgi|Aspni_NRRL3_1|4756	sugar_metabolism	"TCA;Glyoxylate cycle"	lpdA	/
jgi|Aspni_NRRL3_1|4757	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|4818	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|4875	sugar_metabolism	Glyoxylate cycle	/	/
jgi|Aspni_NRRL3_1|4916	PBD_cazy	CE16	HAE	Xylan/Mannan/Xyloglucan
jgi|Aspni_NRRL3_1|4917	PBD_cazy	GH5_Subf5	EGL	Cellulose
jgi|Aspni_NRRL3_1|4921	sugar_metabolism	Glycolysis	pkiA	/
jgi|Aspni_NRRL3_1|4943	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|4953	PBD_cazy	GH7	CBH	Cellulose
jgi|Aspni_NRRL3_1|4970	sugar_metabolism	"TCA;Glyoxylate cycle"	pdaA	/
jgi|Aspni_NRRL3_1|4990	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|5038	sugar_metabolism	"PCP;the oxidoreductive pathway"	/	/
jgi|Aspni_NRRL3_1|5043	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|5100	sugar_metabolism	"Glycolysis;Mannose;the oxidoreductive pathway"	hxkA	/
jgi|Aspni_NRRL3_1|5201	PBD_cazy	GH13_Subf40	AGD	Starch
jgi|Aspni_NRRL3_1|5239	sugar_metabolism	TCA	sdhA	/
jgi|Aspni_NRRL3_1|5252	PBD_cazy	CE8	PME	Pectin
jgi|Aspni_NRRL3_1|5260	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|5263	sugar_metabolism	TCA	icdA	/
jgi|Aspni_NRRL3_1|5283	sugar_metabolism	PPP	gsdA	/
jgi|Aspni_NRRL3_1|5302	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|5343	sugar_metabolism	Leloir	/	/
jgi|Aspni_NRRL3_1|5348	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|5358	PBD_cazy	GH27	AGL	Mannan
jgi|Aspni_NRRL3_1|5365	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|5366	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|5407	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|547	sugar_metabolism	"TCA;Glyoxylate cycle"	citA	/
jgi|Aspni_NRRL3_1|5496	PBD_cazy	AA3_Subf1	cellobiose dehydrogenase	Cellulose
jgi|Aspni_NRRL3_1|5510	sugar_metabolism	Leloir	galm	/
jgi|Aspni_NRRL3_1|5547	sugar_metabolism	Leloir	/	/
jgi|Aspni_NRRL3_1|5552	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|5614	sugar_transporter	unknown STs	/	/
jgi|Aspni_NRRL3_1|5630	transcription_factor	PH-response transcription factor	pacC	/
jgi|Aspni_NRRL3_1|5631	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|5634	sugar_transporter	unknown STs	/	/
jgi|Aspni_NRRL3_1|5649	sugar_metabolism	D-galacturonic acid	gaaC	/
jgi|Aspni_NRRL3_1|5650	sugar_metabolism	D-galacturonic acid	gaaA	/
jgi|Aspni_NRRL3_1|5655	sugar_metabolism	Leloir	pgmB	/
jgi|Aspni_NRRL3_1|5659	sugar_transporter	inositol, hexose STs	/	/
jgi|Aspni_NRRL3_1|5660	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|5661	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|5672	sugar_metabolism	Glycolysis	fbaA	/
jgi|Aspni_NRRL3_1|5756	sugar_metabolism	PPP	tktB	/
jgi|Aspni_NRRL3_1|5826	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|5859	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|588	sugar_metabolism	PPP	rbtA	/
jgi|Aspni_NRRL3_1|5946	transcription_factor	transcription_factor|creA carbon catabolite repression	creA	/
jgi|Aspni_NRRL3_1|5970	sugar_metabolism	Leloir	galT	/
jgi|Aspni_NRRL3_1|5973	sugar_transporter	hexose, xylose, polyol STs	/	/
jgi|Aspni_NRRL3_1|6024	sugar_metabolism	PPP	rpiB	/
jgi|Aspni_NRRL3_1|6025	sugar_metabolism	Glycolysis	tpiB	/
jgi|Aspni_NRRL3_1|603	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|6036	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|6053	PBD_cazy	CE16	HAE	Xylan/Mannan/Xyloglucan
jgi|Aspni_NRRL3_1|6141	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|6197	PBD_cazy	CE5	AXE	Xylan
jgi|Aspni_NRRL3_1|6203	PBD_cazy	GH2	LAC/MND	Pectin/Xyloglucan/Mannan
jgi|Aspni_NRRL3_1|6205	sugar_transporter	pentose, hexose STs	/	/
jgi|Aspni_NRRL3_1|6244	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|6252	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|6269	PBD_cazy	PL1_Subf4	PEL	Pectin
jgi|Aspni_NRRL3_1|6304	PBD_cazy	GH78	RHA	Pectin
jgi|Aspni_NRRL3_1|6316	PBD_cazy	AA3_Subf1	cellobiose dehydrogenase	Cellulose
jgi|Aspni_NRRL3_1|6354	sugar_metabolism	"TCA;Glyoxylate cycle"	oahA	/
jgi|Aspni_NRRL3_1|6359	PBD_cazy	PL1_Subf7	PLY	Pectin
jgi|Aspni_NRRL3_1|6379	PBD_cazy	CE16	HAE	Xylan/Mannan/Xyloglucan
jgi|Aspni_NRRL3_1|6383	PBD_cazy	GH10	XLN	Xylan
jgi|Aspni_NRRL3_1|6387	PBD_cazy	GH51	ABF	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|64	PBD_cazy	GH51	ABF	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|6411	sugar_metabolism	non-phosphorylated DeLey-Doudoroff pathway	/	/
jgi|Aspni_NRRL3_1|6419	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|6436	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|6528	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|6623	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|6773	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|6782	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|6791	PBD_cazy	GH5_Subf5	EGL	Cellulose
jgi|Aspni_NRRL3_1|6805	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|6836	sugar_transporter	lactose, cellobiose, xylobiose STs	/	/
jgi|Aspni_NRRL3_1|6838	transcription_factor	transcription_factor|clrA1 cellulose degradation	clrA1	/
jgi|Aspni_NRRL3_1|684	PBD_cazy	PL4_Subf1	RGL	Pectin
jgi|Aspni_NRRL3_1|6849	sugar_metabolism	Glycolysis	put. pgm	/
jgi|Aspni_NRRL3_1|6865	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|6866	sugar_transporter	uronic, quinic acid STs	/	/
